d3mIndex,Company,Year,timeseries_file,Date,Close
0,abbv,2016,abbv.2016.csv,2016-11-01,54.461999999999996
1,abbv,2016,abbv.2016.csv,2016-11-02,54.791000000000004
2,abbv,2016,abbv.2016.csv,2016-11-03,53.923
3,abbv,2016,abbv.2016.csv,2016-11-04,54.067
4,abbv,2016,abbv.2016.csv,2016-11-07,56.836000000000006
5,abbv,2016,abbv.2016.csv,2016-11-08,56.739
6,abbv,2016,abbv.2016.csv,2016-11-09,60.434
7,abbv,2016,abbv.2016.csv,2016-11-10,61.747
8,abbv,2016,abbv.2016.csv,2016-11-11,60.879
9,abbv,2016,abbv.2016.csv,2016-11-14,60.753
10,abbv,2016,abbv.2016.csv,2016-11-15,60.657
11,abbv,2016,abbv.2016.csv,2016-11-16,59.373999999999995
12,abbv,2016,abbv.2016.csv,2016-11-17,59.528
13,abbv,2016,abbv.2016.csv,2016-11-18,58.388999999999996
14,abbv,2016,abbv.2016.csv,2016-11-21,58.292
15,abbv,2016,abbv.2016.csv,2016-11-22,56.854
16,abbv,2016,abbv.2016.csv,2016-11-23,58.06100000000001
17,abbv,2016,abbv.2016.csv,2016-11-25,58.381
18,abbv,2016,abbv.2016.csv,2016-11-28,57.367
19,abbv,2016,abbv.2016.csv,2016-11-29,59.42100000000001
20,abbv,2016,abbv.2016.csv,2016-11-30,58.66
21,abbv,2016,abbv.2016.csv,2016-12-01,57.077
22,abbv,2016,abbv.2016.csv,2016-12-02,57.336999999999996
23,abbv,2016,abbv.2016.csv,2016-12-05,58.717
24,abbv,2016,abbv.2016.csv,2016-12-06,59.45
25,abbv,2016,abbv.2016.csv,2016-12-07,57.878
26,abbv,2016,abbv.2016.csv,2016-12-08,58.756
27,abbv,2016,abbv.2016.csv,2016-12-09,59.373999999999995
28,abbv,2016,abbv.2016.csv,2016-12-12,59.855
29,abbv,2016,abbv.2016.csv,2016-12-13,59.808
30,abbv,2016,abbv.2016.csv,2016-12-14,59.498999999999995
31,abbv,2016,abbv.2016.csv,2016-12-15,59.836000000000006
32,abbv,2016,abbv.2016.csv,2016-12-16,60.028999999999996
33,abbv,2016,abbv.2016.csv,2016-12-19,60.028999999999996
34,abbv,2016,abbv.2016.csv,2016-12-20,59.972
35,abbv,2016,abbv.2016.csv,2016-12-21,59.286
36,abbv,2016,abbv.2016.csv,2016-12-22,59.49
37,abbv,2016,abbv.2016.csv,2016-12-23,60.145
38,abbv,2016,abbv.2016.csv,2016-12-27,60.299
39,abbv,2016,abbv.2016.csv,2016-12-28,60.078
40,abbv,2016,abbv.2016.csv,2016-12-29,60.521
41,abbv,2016,abbv.2016.csv,2016-12-30,60.415
42,abbv,2017,abbv.2017.csv,2017-11-01,92.44
43,abbv,2017,abbv.2017.csv,2017-11-02,91.02
44,abbv,2017,abbv.2017.csv,2017-11-03,92.31
45,abbv,2017,abbv.2017.csv,2017-11-06,92.96
46,abbv,2017,abbv.2017.csv,2017-11-07,93.96
47,abbv,2017,abbv.2017.csv,2017-11-08,95.71
48,abbv,2017,abbv.2017.csv,2017-11-09,95.89
49,abbv,2017,abbv.2017.csv,2017-11-10,95.43
50,abbv,2013,abbv.2013.csv,2013-11-01,42.653
51,abbv,2013,abbv.2013.csv,2013-11-04,42.48
52,abbv,2013,abbv.2013.csv,2013-11-05,41.965
53,abbv,2013,abbv.2013.csv,2013-11-06,41.861999999999995
54,abbv,2013,abbv.2013.csv,2013-11-07,41.155
55,abbv,2013,abbv.2013.csv,2013-11-08,41.843999999999994
56,abbv,2013,abbv.2013.csv,2013-11-11,42.315
57,abbv,2013,abbv.2013.csv,2013-11-12,41.365
58,abbv,2013,abbv.2013.csv,2013-11-13,41.68899999999999
59,abbv,2013,abbv.2013.csv,2013-11-14,41.853
60,abbv,2013,abbv.2013.csv,2013-11-15,42.201
61,abbv,2013,abbv.2013.csv,2013-11-18,42.576
62,abbv,2013,abbv.2013.csv,2013-11-19,42.22
63,abbv,2013,abbv.2013.csv,2013-11-20,41.773999999999994
64,abbv,2013,abbv.2013.csv,2013-11-21,42.315
65,abbv,2013,abbv.2013.csv,2013-11-22,42.637
66,abbv,2013,abbv.2013.csv,2013-11-25,42.176
67,abbv,2013,abbv.2013.csv,2013-11-26,42.341
68,abbv,2013,abbv.2013.csv,2013-11-27,42.036
69,abbv,2013,abbv.2013.csv,2013-11-29,42.211000000000006
70,abbv,2013,abbv.2013.csv,2013-12-02,42.158
71,abbv,2013,abbv.2013.csv,2013-12-03,43.533
72,abbv,2013,abbv.2013.csv,2013-12-04,43.272
73,abbv,2013,abbv.2013.csv,2013-12-05,43.351000000000006
74,abbv,2013,abbv.2013.csv,2013-12-06,44.735
75,abbv,2013,abbv.2013.csv,2013-12-09,44.615
76,abbv,2013,abbv.2013.csv,2013-12-10,45.426
77,abbv,2013,abbv.2013.csv,2013-12-11,45.886
78,abbv,2013,abbv.2013.csv,2013-12-12,45.643
79,abbv,2013,abbv.2013.csv,2013-12-13,45.625
80,abbv,2013,abbv.2013.csv,2013-12-16,46.498000000000005
81,abbv,2013,abbv.2013.csv,2013-12-17,46.722
82,abbv,2013,abbv.2013.csv,2013-12-18,47.323
83,abbv,2013,abbv.2013.csv,2013-12-19,45.851000000000006
84,abbv,2013,abbv.2013.csv,2013-12-20,45.816
85,abbv,2013,abbv.2013.csv,2013-12-23,45.806999999999995
86,abbv,2013,abbv.2013.csv,2013-12-24,45.617
87,abbv,2013,abbv.2013.csv,2013-12-26,46.166000000000004
88,abbv,2013,abbv.2013.csv,2013-12-27,45.783
89,abbv,2013,abbv.2013.csv,2013-12-30,46.183
90,abbv,2014,abbv.2014.csv,2014-11-03,56.883
91,abbv,2014,abbv.2014.csv,2014-11-04,56.353
92,abbv,2014,abbv.2014.csv,2014-11-05,56.245
93,abbv,2014,abbv.2014.csv,2014-11-06,56.398999999999994
94,abbv,2014,abbv.2014.csv,2014-11-07,55.308
95,abbv,2014,abbv.2014.csv,2014-11-10,57.369
96,abbv,2014,abbv.2014.csv,2014-11-11,57.422
97,abbv,2014,abbv.2014.csv,2014-11-12,57.341
98,abbv,2014,abbv.2014.csv,2014-11-13,57.227
99,abbv,2014,abbv.2014.csv,2014-11-14,57.556000000000004
100,abbv,2014,abbv.2014.csv,2014-11-17,58.493
101,abbv,2014,abbv.2014.csv,2014-11-18,59.403
102,abbv,2014,abbv.2014.csv,2014-11-19,58.908
103,abbv,2014,abbv.2014.csv,2014-11-20,58.628
104,abbv,2014,abbv.2014.csv,2014-11-21,60.581
105,abbv,2014,abbv.2014.csv,2014-11-24,60.957
106,abbv,2014,abbv.2014.csv,2014-11-25,61.208
107,abbv,2014,abbv.2014.csv,2014-11-26,61.786
108,abbv,2014,abbv.2014.csv,2014-11-28,62.236000000000004
109,abbv,2014,abbv.2014.csv,2014-12-01,62.153
110,abbv,2014,abbv.2014.csv,2014-12-02,62.297
111,abbv,2014,abbv.2014.csv,2014-12-03,61.604
112,abbv,2014,abbv.2014.csv,2014-12-04,62.568000000000005
113,abbv,2014,abbv.2014.csv,2014-12-05,62.693000000000005
114,abbv,2014,abbv.2014.csv,2014-12-08,62.433
115,abbv,2014,abbv.2014.csv,2014-12-09,62.181000000000004
116,abbv,2014,abbv.2014.csv,2014-12-10,60.778
117,abbv,2014,abbv.2014.csv,2014-12-11,60.283
118,abbv,2014,abbv.2014.csv,2014-12-12,58.701
119,abbv,2014,abbv.2014.csv,2014-12-15,59.015
120,abbv,2014,abbv.2014.csv,2014-12-16,58.681999999999995
121,abbv,2014,abbv.2014.csv,2014-12-17,59.868
122,abbv,2014,abbv.2014.csv,2014-12-18,61.083999999999996
123,abbv,2014,abbv.2014.csv,2014-12-19,60.895
124,abbv,2014,abbv.2014.csv,2014-12-22,60.228
125,abbv,2014,abbv.2014.csv,2014-12-23,57.873000000000005
126,abbv,2014,abbv.2014.csv,2014-12-24,59.545
127,abbv,2014,abbv.2014.csv,2014-12-26,60.236999999999995
128,abbv,2014,abbv.2014.csv,2014-12-29,60.383
129,abbv,2014,abbv.2014.csv,2014-12-30,59.626000000000005
130,abbv,2015,abbv.2015.csv,2015-11-02,58.871
131,abbv,2015,abbv.2015.csv,2015-11-03,57.99
132,abbv,2015,abbv.2015.csv,2015-11-04,59.263999999999996
133,abbv,2015,abbv.2015.csv,2015-11-05,58.306999999999995
134,abbv,2015,abbv.2015.csv,2015-11-06,59.568999999999996
135,abbv,2015,abbv.2015.csv,2015-11-09,58.733000000000004
136,abbv,2015,abbv.2015.csv,2015-11-10,57.869
137,abbv,2015,abbv.2015.csv,2015-11-11,56.533
138,abbv,2015,abbv.2015.csv,2015-11-12,55.946999999999996
139,abbv,2015,abbv.2015.csv,2015-11-13,55.603
140,abbv,2015,abbv.2015.csv,2015-11-16,55.742
141,abbv,2015,abbv.2015.csv,2015-11-17,56.085
142,abbv,2015,abbv.2015.csv,2015-11-18,56.653
143,abbv,2015,abbv.2015.csv,2015-11-19,56.245
144,abbv,2015,abbv.2015.csv,2015-11-20,56.763999999999996
145,abbv,2015,abbv.2015.csv,2015-11-23,56.801
146,abbv,2015,abbv.2015.csv,2015-11-24,56.783
147,abbv,2015,abbv.2015.csv,2015-11-25,56.001999999999995
148,abbv,2015,abbv.2015.csv,2015-11-27,55.733000000000004
149,abbv,2015,abbv.2015.csv,2015-11-30,54.015
150,abbv,2015,abbv.2015.csv,2015-12-01,54.824
151,abbv,2015,abbv.2015.csv,2015-12-02,53.61600000000001
152,abbv,2015,abbv.2015.csv,2015-12-03,52.128
153,abbv,2015,abbv.2015.csv,2015-12-04,53.111999999999995
154,abbv,2015,abbv.2015.csv,2015-12-07,52.268
155,abbv,2015,abbv.2015.csv,2015-12-08,52.641000000000005
156,abbv,2015,abbv.2015.csv,2015-12-09,52.04600000000001
157,abbv,2015,abbv.2015.csv,2015-12-10,51.81399999999999
158,abbv,2015,abbv.2015.csv,2015-12-11,50.196999999999996
159,abbv,2015,abbv.2015.csv,2015-12-14,51.498000000000005
160,abbv,2015,abbv.2015.csv,2015-12-15,52.381
161,abbv,2015,abbv.2015.csv,2015-12-16,53.531000000000006
162,abbv,2015,abbv.2015.csv,2015-12-17,52.372
163,abbv,2015,abbv.2015.csv,2015-12-18,51.777
164,abbv,2015,abbv.2015.csv,2015-12-21,52.20399999999999
165,abbv,2015,abbv.2015.csv,2015-12-22,53.495
166,abbv,2015,abbv.2015.csv,2015-12-23,54.413000000000004
167,abbv,2015,abbv.2015.csv,2015-12-24,54.301
168,abbv,2015,abbv.2015.csv,2015-12-28,54.571000000000005
169,abbv,2015,abbv.2015.csv,2015-12-29,55.222
170,abbv,2015,abbv.2015.csv,2015-12-30,55.547
171,baf,2016,baf.2016.csv,2016-11-01,13.918
172,baf,2016,baf.2016.csv,2016-11-02,13.944
173,baf,2016,baf.2016.csv,2016-11-03,13.935
174,baf,2016,baf.2016.csv,2016-11-04,13.933
175,baf,2016,baf.2016.csv,2016-11-07,13.935
176,baf,2016,baf.2016.csv,2016-11-08,13.935
177,baf,2016,baf.2016.csv,2016-11-09,13.823
178,baf,2016,baf.2016.csv,2016-11-10,13.687999999999999
179,baf,2016,baf.2016.csv,2016-11-11,13.707
180,baf,2016,baf.2016.csv,2016-11-14,13.603
181,baf,2016,baf.2016.csv,2016-11-15,13.574000000000002
182,baf,2016,baf.2016.csv,2016-11-16,13.505999999999998
183,baf,2016,baf.2016.csv,2016-11-17,13.293
184,baf,2016,baf.2016.csv,2016-11-18,13.205
185,baf,2016,baf.2016.csv,2016-11-21,13.307
186,baf,2016,baf.2016.csv,2016-11-22,13.327
187,baf,2016,baf.2016.csv,2016-11-23,13.234000000000002
188,baf,2016,baf.2016.csv,2016-11-25,13.297
