Date,Close
2016-01-04,5.92
2016-01-05,5.36
2016-01-06,5.21
2016-01-07,5.14
2016-01-08,5.16
2016-01-11,5.23
2016-01-12,5.19
2016-01-13,5.19
2016-01-14,5.1
2016-01-15,4.82
2016-01-19,4.8
2016-01-20,4.64
2016-01-21,4.61
2016-01-22,4.8
2016-01-25,4.67
2016-01-26,4.89
2016-01-27,4.96
2016-01-28,5.18
2016-01-29,5.23
2016-02-01,5.42
2016-02-02,5.19
2016-02-03,5.06
2016-02-04,5.085
2016-02-05,5.3
2016-02-08,5.13
2016-02-09,5.13
2016-02-10,4.96
2016-02-11,4.65
2016-02-12,4.66
2016-02-16,4.71
2016-02-17,4.8
2016-02-18,4.69
2016-02-19,4.64
2016-02-22,4.59
2016-02-23,4.69
2016-02-24,4.69
2016-02-25,4.6
2016-02-26,4.45
2016-02-29,4.43
2016-03-01,4.4
2016-03-02,4.33
2016-03-03,4.2
2016-03-04,4.18
2016-03-07,4.37
2016-03-08,4.17
2016-03-09,4.12
2016-03-10,4.14
2016-03-11,4.07
2016-03-14,4.19
2016-03-15,4.2
2016-03-16,4.23
2016-03-17,4.3
2016-03-18,4.41
2016-03-21,4.27
2016-03-22,4.09
2016-03-23,4.03
2016-03-24,4.1
2016-03-28,3.93
2016-03-29,3.85
2016-03-30,3.8
2016-03-31,3.8
2016-04-01,3.76
2016-04-04,3.69
2016-04-05,3.58
2016-04-06,3.74
2016-04-07,3.74
2016-04-08,3.89
2016-04-11,4.07
2016-04-12,4.06
2016-04-13,4.29
2016-04-14,4.02
2016-04-15,3.88
2016-04-18,4.02
2016-04-19,4.0
2016-04-20,4.01
2016-04-21,3.99
2016-04-22,3.98
2016-04-25,3.98
2016-04-26,4.0
2016-04-27,4.06
2016-04-28,4.04
2016-04-29,3.95
2016-05-02,3.76
2016-05-03,3.77
2016-05-04,4.0
2016-05-05,3.63
2016-05-06,3.16
2016-05-09,3.23
2016-05-10,3.32
2016-05-11,3.28
2016-05-12,3.18
2016-05-13,3.26
2016-05-16,3.22
2016-05-17,3.27
2016-05-18,3.2
2016-05-19,3.13
2016-05-20,3.47
2016-05-23,3.28
2016-05-24,3.42
2016-05-25,3.31
2016-05-26,3.32
2016-05-27,3.39
2016-05-31,3.5
2016-06-01,3.5
2016-06-02,3.46
2016-06-03,3.49
2016-06-06,3.49
2016-06-07,3.56
2016-06-08,3.62
2016-06-09,3.53
2016-06-10,3.32
2016-06-13,3.23
2016-06-14,3.27
2016-06-15,3.18
2016-06-16,3.18
2016-06-17,3.15
2016-06-20,3.21
2016-06-21,3.18
2016-06-22,3.24
2016-06-23,3.33
2016-06-24,3.17
2016-06-27,3.01
2016-06-28,2.99
2016-06-29,2.99
2016-06-30,2.72
2016-07-01,2.82
2016-07-05,2.72
2016-07-06,2.95
2016-07-07,3.28
2016-07-08,4.04
2016-07-11,4.28
2016-07-12,4.45
2016-07-13,4.34
2016-07-14,4.11
2016-07-15,4.17
2016-07-18,4.48
2016-07-19,4.49
2016-07-20,4.74
2016-07-21,4.58
2016-07-22,4.41
2016-07-25,4.36
2016-07-26,4.38
2016-07-27,4.39
2016-07-28,4.26
2016-07-29,4.27
2016-08-01,4.23
2016-08-02,4.3
2016-08-03,4.28
2016-08-04,4.27
2016-08-05,4.32
2016-08-08,4.16
2016-08-09,4.05
2016-08-10,3.9
2016-08-11,3.8032
2016-08-12,3.84
2016-08-15,3.91
2016-08-16,3.82
2016-08-17,3.71
2016-08-18,3.8
2016-08-19,3.65
2016-08-22,3.59
2016-08-23,3.57
2016-08-24,3.48
2016-08-25,3.4
2016-08-26,3.47
2016-08-29,3.46
2016-08-30,3.445
2016-08-31,3.23
2016-09-01,2.86
2016-09-02,2.89
2016-09-06,2.91
2016-09-07,2.9668
2016-09-08,3.3
2016-09-09,3.18
2016-09-12,3.23
2016-09-13,3.04
2016-09-14,3.06
2016-09-15,3.05
2016-09-16,3.02
2016-09-19,2.99
2016-09-20,2.9
2016-09-21,2.83
2016-09-22,2.95
2016-09-23,2.9042
2016-09-26,2.88
2016-09-27,2.75
2016-09-28,2.82
2016-09-29,2.65
2016-09-30,2.68
2016-10-03,2.75
2016-10-04,2.65
2016-10-05,2.68
2016-10-06,2.67
2016-10-07,2.6561
2016-10-10,2.65
2016-10-11,2.59
2016-10-12,2.47
2016-10-13,2.34
2016-10-14,2.38
2016-10-17,2.43
2016-10-18,2.45
2016-10-19,2.49
2016-10-20,2.62
2016-10-21,2.52
2016-10-24,2.51
2016-10-25,2.6
2016-10-26,2.61
2016-10-27,2.55
2016-10-28,2.53
2016-10-31,2.55
