d3mIndex,displacement,horsepower,weight,acceleration,model,cylinders_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_1,origin_2,origin_3
0,98.0,66.0,1800.0,14.4,78,0,1,0,0,0,1,0,0
1,108.0,94.0,2379.0,16.5,73,0,1,0,0,0,0,0,1
2,199.0,97.0,2774.0,15.5,70,0,0,0,1,0,1,0,0
3,304.0,150.0,3672.0,11.5,72,0,0,0,0,1,1,0,0
4,250.0,105.0,3459.0,16.0,75,0,0,0,1,0,1,0,0
5,440.0,215.0,4312.0,8.5,70,0,0,0,0,1,1,0,0
6,97.0,46.0,1835.0,20.5,70,0,1,0,0,0,0,1,0
7,350.0,150.0,4699.0,14.5,74,0,0,0,0,1,1,0,0
8,105.0,74.0,2190.0,14.2,81,0,1,0,0,0,0,1,0
9,85.0,65.0,1975.0,19.4,81,0,1,0,0,0,0,0,1
10,71.0,65.0,1836.0,21.0,74,0,1,0,0,0,0,0,1
11,107.0,86.0,2464.0,15.5,76,0,1,0,0,0,0,1,0
12,267.0,125.0,3605.0,15.0,79,0,0,0,0,1,1,0,0
13,91.0,67.0,1965.0,15.7,82,0,1,0,0,0,0,0,1
14,121.0,80.0,2670.0,15.0,79,0,1,0,0,0,1,0,0
15,140.0,90.0,2408.0,19.5,72,0,1,0,0,0,1,0,0
16,96.0,69.0,2189.0,18.0,72,0,1,0,0,0,0,1,0
17,225.0,110.0,3360.0,16.6,79,0,0,0,1,0,1,0,0
18,91.0,69.0,2130.0,14.7,79,0,1,0,0,0,0,1,0
19,163.0,133.0,3410.0,15.8,78,0,0,0,1,0,0,1,0
20,350.0,145.0,4440.0,14.0,75,0,0,0,0,1,1,0,0
21,140.0,72.0,2401.0,19.5,73,0,1,0,0,0,1,0,0
22,200.0,85.0,2587.0,16.0,70,0,0,0,1,0,1,0,0
23,200.0,95.0,3155.0,18.2,78,0,0,0,1,0,1,0,0
24,199.0,90.0,2648.0,15.0,70,0,0,0,1,0,1,0,0
25,168.0,116.0,2900.0,12.6,81,0,0,0,1,0,0,0,1
26,91.0,68.0,1985.0,16.0,81,0,1,0,0,0,0,0,1
27,151.0,90.0,2950.0,17.3,82,0,1,0,0,0,1,0,0
28,98.0,70.0,2125.0,17.3,82,0,1,0,0,0,1,0,0
29,120.0,74.0,2635.0,18.3,81,0,1,0,0,0,0,0,1
30,89.0,60.0,1968.0,18.8,80,0,1,0,0,0,0,0,1
31,83.0,61.0,2003.0,19.0,74,0,1,0,0,0,0,0,1
32,85.0,65.0,2110.0,19.2,80,0,1,0,0,0,0,0,1
33,232.0,90.0,3211.0,17.0,75,0,0,0,1,0,1,0,0
34,114.0,91.0,2582.0,14.0,73,0,1,0,0,0,0,1,0
35,250.0,105.0,3353.0,14.5,76,0,0,0,1,0,1,0,0
36,258.0,95.0,3193.0,17.8,76,0,0,0,1,0,1,0,0
37,81.0,60.0,1760.0,16.1,81,0,1,0,0,0,0,0,1
38,98.0,63.0,2051.0,17.0,77,0,1,0,0,0,1,0,0
39,107.0,75.0,2210.0,14.4,81,0,1,0,0,0,0,0,1
40,250.0,88.0,3302.0,15.5,71,0,0,0,1,0,1,0,0
41,302.0,140.0,4638.0,16.0,74,0,0,0,0,1,1,0,0
42,351.0,142.0,4054.0,14.3,79,0,0,0,0,1,1,0,0
43,250.0,72.0,3158.0,19.5,75,0,0,0,1,0,1,0,0
44,232.0,90.0,3085.0,17.6,76,0,0,0,1,0,1,0,0
45,85.0,52.0,2035.0,22.2,76,0,1,0,0,0,1,0,0
46,97.0,54.0,2254.0,23.5,72,0,1,0,0,0,0,1,0
47,70.0,90.0,2124.0,13.5,73,1,0,0,0,0,0,0,1
48,122.0,96.0,2300.0,15.5,77,0,1,0,0,0,1,0,0
49,119.0,97.0,2545.0,17.0,75,0,1,0,0,0,0,0,1
50,454.0,220.0,4354.0,9.0,70,0,0,0,0,1,1,0,0
51,351.0,138.0,3955.0,13.2,79,0,0,0,0,1,1,0,0
52,131.0,103.0,2830.0,15.9,78,0,0,1,0,0,0,1,0
53,108.0,93.0,2391.0,15.5,74,0,1,0,0,0,0,0,1
54,383.0,170.0,3563.0,10.0,70,0,0,0,0,1,1,0,0
55,97.0,67.0,2145.0,18.0,80,0,1,0,0,0,0,0,1
56,400.0,150.0,4997.0,14.0,73,0,0,0,0,1,1,0,0
57,97.0,92.0,2288.0,17.0,72,0,1,0,0,0,0,0,1
58,225.0,100.0,3630.0,17.7,77,0,0,0,1,0,1,0,0
59,97.0,67.0,1985.0,16.4,77,0,1,0,0,0,0,0,1
60,141.0,71.0,3190.0,24.8,79,0,1,0,0,0,0,1,0
61,168.0,120.0,3820.0,16.7,76,0,0,0,1,0,0,1,0
62,97.0,75.0,2171.0,16.0,75,0,1,0,0,0,0,0,1
63,262.0,110.0,3221.0,13.5,75,0,0,0,0,1,1,0,0
64,318.0,150.0,3777.0,12.5,73,0,0,0,0,1,1,0,0
65,318.0,140.0,4080.0,13.7,78,0,0,0,0,1,1,0,0
66,225.0,95.0,3785.0,19.0,75,0,0,0,1,0,1,0,0
67,90.0,75.0,2108.0,15.5,74,0,1,0,0,0,0,1,0
68,232.0,90.0,3265.0,18.2,79,0,0,0,1,0,1,0,0
69,351.0,158.0,4363.0,13.0,73,0,0,0,0,1,1,0,0
70,350.0,160.0,4456.0,13.5,72,0,0,0,0,1,1,0,0
71,156.0,122.0,2807.0,13.5,73,0,0,0,1,0,0,0,1
72,360.0,175.0,3821.0,11.0,73,0,0,0,0,1,1,0,0
73,97.0,78.0,2300.0,14.5,74,0,1,0,0,0,0,1,0
74,105.0,70.0,2150.0,14.9,79,0,1,0,0,0,1,0,0
75,225.0,105.0,3121.0,16.5,73,0,0,0,1,0,1,0,0
76,250.0,98.0,3525.0,19.0,77,0,0,0,1,0,1,0,0
77,350.0,155.0,4502.0,13.5,72,0,0,0,0,1,1,0,0
78,121.0,113.0,2234.0,12.5,70,0,1,0,0,0,0,1,0
79,232.0,100.0,3288.0,15.5,71,0,0,0,1,0,1,0,0
80,76.0,52.0,1649.0,16.5,74,0,1,0,0,0,0,0,1
81,121.0,110.0,2660.0,14.0,73,0,1,0,0,0,0,1,0
82,429.0,208.0,4633.0,11.0,72,0,0,0,0,1,1,0,0
83,318.0,140.0,3735.0,13.2,78,0,0,0,0,1,1,0,0
84,119.0,100.0,2615.0,14.8,81,0,1,0,0,0,0,0,1
85,89.0,71.0,1990.0,14.9,78,0,1,0,0,0,0,1,0
86,225.0,90.0,3381.0,18.7,80,0,0,0,1,0,1,0,0
87,200.0,81.0,3012.0,17.6,76,0,0,0,1,0,1,0,0
88,198.0,95.0,3102.0,16.5,74,0,0,0,1,0,1,0,0
89,90.0,75.0,2125.0,14.5,74,0,1,0,0,0,1,0,0
90,97.0,78.0,1940.0,14.5,77,0,1,0,0,0,0,1,0
91,304.0,150.0,3672.0,11.5,73,0,0,0,0,1,1,0,0
92,122.0,88.0,2500.0,15.1,80,0,1,0,0,0,0,1,0
93,97.0,71.0,1825.0,12.2,76,0,1,0,0,0,0,1,0
94,140.0,,2905.0,14.3,80,0,1,0,0,0,1,0,0
