d3mIndex,radonFile_index,radonFile
258,5339,0
515,5596,0
317,5398,0
865,5946,0
871,5952,0
9,5090,0
345,5426,0
535,5616,0
265,5346,0
616,5697,0
405,5486,0
254,5335,0
794,5875,0
691,5772,0
625,5706,0
286,5367,0
381,5462,0
666,5747,0
318,5399,0
486,5567,0
908,5989,0
739,5820,0
410,5491,0
323,5404,0
846,5927,0
352,5433,0
484,5565,0
347,5428,0
811,5892,0
660,5741,0
481,5562,0
603,5684,0
531,5612,0
199,5280,0
125,5206,0
156,5237,0
54,5135,0
443,5524,0
787,5868,0
670,5751,0
89,5170,0
297,5378,0
566,5647,0
912,5993,0
906,5987,0
186,5267,0
218,5299,0
755,5836,0
216,5297,0
118,5199,0
810,5891,0
534,5615,0
866,5947,0
836,5917,0
384,5465,0
476,5557,0
339,5420,0
81,5162,0
128,5209,0
591,5672,0
506,5587,0
138,5219,0
833,5914,0
763,5844,0
270,5351,0
62,5143,0
856,5937,0
20,5101,0
463,5544,0
728,5809,0
696,5777,0
862,5943,0
275,5356,0
803,5884,0
406,5487,0
504,5585,0
887,5968,0
841,5922,0
174,5255,0
554,5635,0
204,5285,0
819,5900,0
913,5994,0
259,5340,0
743,5824,0
640,5721,0
773,5854,0
109,5190,0
858,5939,0
260,5341,0
477,5558,0
747,5828,0
272,5353,0
704,5785,0
472,5553,0
96,5177,0
904,5985,0
191,5272,0
79,5160,0
471,5552,0
848,5929,0
83,5164,0
508,5589,0
329,5410,0
365,5446,0
152,5233,0
164,5245,0
281,5362,0
658,5739,0
171,5252,0
760,5841,0
416,5497,0
498,5579,0
698,5779,0
510,5591,0
396,5477,0
303,5384,0
349,5430,0
792,5873,0
812,5893,0
371,5452,0
730,5811,0
648,5729,0
898,5979,0
627,5708,0
227,5308,0
489,5570,0
548,5629,0
132,5213,0
604,5685,0
700,5781,0
313,5394,0
32,5113,0
583,5664,0
84,5165,0
541,5622,0
565,5646,0
708,5789,0
287,5368,0
90,5171,0
742,5823,0
783,5864,0
916,5997,0
788,5869,0
343,5424,0
579,5660,0
161,5242,0
60,5141,0
733,5814,0
456,5537,0
189,5270,0
864,5945,0
868,5949,0
139,5220,0
305,5386,0
198,5279,0
520,5601,0
731,5812,0
304,5385,0
166,5247,0
431,5512,0
618,5699,0
838,5919,0
361,5442,0
723,5804,0
828,5909,0
847,5928,0
65,5146,0
601,5682,0
370,5451,0
