radonFile_index,state,state2,stfips,zip,region,typebldg,floor,room,basement,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code
5083,MN,MN,27,55748,5,1,0,4,Y,3,2,42,1030,1515,20288,21188,2.9,9.6,433.316718,0,0,1,AITKIN,27001,0.502054,0
5084,MN,MN,27,56469,5,1,0,4,Y,2,2,24,1410,1410,122987,123187,1,24.3,461.62367,0,0,1,AITKIN,27001,0.502054,0
5085,MN,MN,27,55011,3,1,0,4,Y,3,2,40,600,600,12888,13088,3.1,13.8,433.316718,0,0,3,ANOKA,27003,0.428565,1
5086,MN,MN,27,55014,3,1,0,4,Y,5,2,22,900,1300,120287,121187,2.5,12.8,471.366223,0,0,3,ANOKA,27003,0.428565,1
5087,MN,MN,27,55014,3,1,0,4,Y,5,2,28,2000,2025,121887,122087,1.5,14.5,471.366223,0,0,3,ANOKA,27003,0.428565,1
5088,MN,MN,27,55014,3,1,0,2,Y,3,2,33,800,1000,122587,122787,1,18,433.316718,0,0,3,ANOKA,27003,0.428565,1
5089,MN,MN,27,55014,3,1,0,4,Y,3,2,36,1000,1730,10188,10188,0.7,25.1,433.316718,0,0,3,ANOKA,27003,0.428565,1
5090,MN,MN,27,55014,3,1,0,4,Y,2,2,44,900,900,20288,20288,1.2,17.5,461.62367,0,0,3,ANOKA,27003,0.428565,1
5091,MN,MN,27,55014,3,1,0,4,Y,2,2,47,1040,1040,20288,20288,1.2,20.2,461.62367,0,0,3,ANOKA,27003,0.428565,1
5093,MN,MN,27,55014,3,1,0,4,Y,4,2,3,1130,1221,30388,31088,1.4,18.7,461.274696,0,0,3,ANOKA,27003,0.428565,1
5094,MN,MN,27,55025,3,1,0,2,Y,2,2,22,815,815,121287,121487,0.4,0,461.62367,0,0,3,ANOKA,27003,0.428565,1
5095,MN,MN,27,55025,3,0,0,0, ,5,2,26,1400,1400,121687,121887,1.1,18.8,471.366223,0,0,3,ANOKA,27003,0.428565,1
5096,MN,MN,27,55025,3,1,0,0,Y,2,2,41,1600,1600,12688,12888,4.5,7,461.62367,0,0,3,ANOKA,27003,0.428565,1
5097,MN,MN,27,55025,3,1,0,4,Y,1,2,43,1205,1205,12088,12288,1.3,33.2,485.435931,0,0,3,ANOKA,27003,0.428565,1
5098,MN,MN,27,55025,3,1,0,4,Y,4,2,48,2000,2000,22188,22388,2.1,10.1,461.274696,0,0,3,ANOKA,27003,0.428565,1
5099,MN,MN,27,55038,3,1,0,4,Y,5,2,49,1110,1110,33188,40488,5.9,5.7,471.366223,0,0,3,ANOKA,27003,0.428565,1
5101,MN,MN,27,55303,3,1,0,2,Y,5,2,22,1930,1930,120287,121087,1.8,14.4,471.366223,1,0,3,ANOKA,27003,0.428565,1
5102,MN,MN,27,55303,3,0,0,0, ,2,2,30,1630,1620,121987,122187,5.4,5.6,461.62367,0,0,3,ANOKA,27003,0.428565,1
5103,MN,MN,27,55303,3,1,0,4,Y,2,2,33,1815,1815,122887,123087,6.3,6.1,461.62367,0,0,3,ANOKA,27003,0.428565,1
5105,MN,MN,27,55303,3,1,0,4,Y,2,2,37,1500,1530,10188,10188,6.6,8.9,461.62367,0,0,3,ANOKA,27003,0.428565,1
