d3mIndex,personality
20,12
124,8
51,3
56,7
30,12
19,6
122,5
92,6
79,3
52,0
8,8
18,0
47,8
105,6
141,2
3,3
59,3
29,12
118,3
89,0
54,6
31,10
109,9
98,1
17,0
123,1
53,10
125,10
50,0
14,10
113,4
95,3
132,10
104,8
101,3
117,6
128,3
4,0
143,11
12,10
142,6
22,3
58,11
90,1
33,11
111,0
55,7
91,0
27,8
21,2
103,6
135,0
45,10
100,10
106,12
88,3
62,8
49,3
99,10
34,4
39,8
40,6
80,2
28,9
25,1
5,2
82,8
78,0
43,9
83,10
37,7
81,0
16,12
131,5
65,6
130,3
72,6
108,2
120,10
93,10
102,6
140,3
1,0
9,0
85,12
84,1
46,2
144,8
110,5
23,4
36,3
94,3
15,1
69,3
38,0
32,4
67,3
107,8
87,3
129,0
114,0
24,3
61,8
41,0
137,3
44,6
136,4
138,3
70,0
134,2
64,3
97,8
116,1
73,10
